Timestamp,Mode,Count,Frames,FrameMean,FrameSD,GameMean,GameSD,RenderMean,RenderSD,GPUMean,GPUSD
2026.09.23-14.46.17,STOCK,50000,300,9.076,0.685,7.069,0.362,9.076,0.685,2.079,0.500
2026.09.23-14.56.12,STOCK,50000,300,8.671,0.462,6.867,0.377,8.663,0.449,1.967,0.527
2026.09.23-14.57.07,STOCK,50000,300,8.654,0.365,6.856,0.429,8.646,0.350,2.010,0.560
2026.09.23-14.57.26,STOCK,50000,300,8.612,0.402,6.838,0.357,8.604,0.383,2.029,0.587
2026.09.23-14.57.44,STOCK,50000,300,8.687,0.399,6.872,0.333,8.680,0.398,2.062,0.593
2026.09.23-14.58.01,STOCK,50000,300,8.701,0.465,6.898,0.396,8.693,0.446,2.028,0.664
2026.09.23-15.00.52,STOCK,50000,300,8.852,0.473,7.021,0.496,8.845,0.462,2.043,0.767
2026.09.23-15.01.43,STOCK,50000,300,8.672,0.381,6.888,0.379,8.664,0.374,1.919,0.534
2026.09.23-15.02.25,STOCK,50000,300,8.683,0.370,6.900,0.340,8.675,0.361,2.011,0.582
2026.09.23-15.03.27,STOCK,50000,300,8.768,0.379,6.941,0.363,8.760,0.370,1.995,0.514
2026.09.23-15.04.34,STOCK,50000,300,8.843,0.417,6.998,0.439,8.836,0.408,2.064,0.733
